no,term,uri,label,definition,ontologyShort,ontology,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
1,enemy,http://purl.jp/bio/4/id/200906022523077112,natural enemy,,IOBC,http://data.bioontology.org/ontologies/IOBC,1,0,1,1,0,0,0,0,0,0,0,0
2,enemy,https://www.wikidata.org/wiki/Q289891,enemy,individual or a group that is verified as forcefully adverse or threatening,wikidata,wikidata,1,0,1,1,0,0,0,0,0,0,0,0
3,,,,,,,,,,,,,,,,,,
4,species,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45293,Species,A group of organisms that differ from all other groups of organisms and that are capable of breeding and producing fertile offspring.,NCIT,http://data.bioontology.org/ontologies/NCIT,0,1,1,1,1,1,1,1,0,0,1,1
5,species,http://purl.obolibrary.org/obo/NCBITaxon_species,species,,CL,http://data.bioontology.org/ontologies/CL,0,1,1,1,1,1,1,1,0,0,1,1
6,species,http://purl.obolibrary.org/obo/NCBITaxon_species,species,,FOODON,http://data.bioontology.org/ontologies/FOODON,0,1,1,1,1,1,1,1,0,0,1,1
7,species,http://purl.obolibrary.org/obo/NCBITaxon_species,species,,NIFSTD,http://data.bioontology.org/ontologies/NIFSTD,0,1,1,1,1,1,1,1,0,0,1,1
8,species,http://purl.dataone.org/odo/ECSO_00000313,Species,A group of interbreeding organisms that do not ordinarily breed with members of other groups.,ECSO,http://data.bioontology.org/ontologies/ECSO,0,1,1,1,1,1,1,1,0,0,1,1
9,species,http://sweetontology.net/matrBiomass/Species,Species,,SWEET,http://data.bioontology.org/ontologies/SWEET,0,1,1,1,1,1,1,1,0,0,1,1
10,species,http://id.loc.gov/authorities/subjects/sh85126387,Species,,FAST-TOPICAL,http://data.bioontology.org/ontologies/FAST-TOPICAL,0,1,1,1,1,1,1,1,0,0,1,1
11,species,http://bioontology.org/projects/ontologies/birnlex#birnlex_7101,Species,,BIRNLEX,http://data.bioontology.org/ontologies/BIRNLEX,0,1,1,1,1,1,1,1,0,0,1,1
12,species,http://bioonto.de/ro2.owl#Species,Species,,BIOMODELS,http://data.bioontology.org/ontologies/BIOMODELS,0,1,1,1,1,1,1,1,0,0,1,1
13,species,http://www.projecthalo.com/aura#Species,Species,,AURA,http://data.bioontology.org/ontologies/AURA,0,1,1,1,1,1,1,1,0,0,1,1
14,species,http://purl.obolibrary.org/obo/NCBITaxon_species,species,,GENEPIO,http://data.bioontology.org/ontologies/GENEPIO,0,1,1,1,1,1,1,1,0,0,1,1
