term,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
(closely) related,0,0,0,0,0,1,0,0,0,0,0,0
absence,1,0,0,0,0,0,0,0,0,0,0,0
absent,1,0,0,0,0,0,0,0,0,0,0,0
additional,0,0,0,0,0,0,0,0,0,0,0,1
area,0,0,0,0,0,1,0,0,0,0,0,0
biodiversity,0,1,0,0,0,0,0,0,0,0,0,0
continent,0,0,0,0,0,0,1,0,0,0,0,0
defence/defense,0,0,0,1,0,0,0,0,0,0,0,0
disturbed,0,0,0,0,0,0,0,0,0,0,1,0
ecological,0,0,0,0,0,0,1,0,0,0,0,1
ecological impact,0,0,0,0,0,0,1,0,0,0,0,1
ecosystem,0,1,0,0,0,0,0,0,0,0,1,1
enemy,1,0,1,1,0,0,0,0,0,0,0,0
exotic,1,0,0,0,0,0,0,0,0,0,0,0
exotic range,1,0,0,0,0,0,0,0,0,0,0,0
general,0,0,0,1,0,0,0,0,0,0,0,0
generalist,0,0,0,1,0,0,0,0,0,0,0,0
growth,0,0,1,1,0,0,0,0,0,0,0,0
impact,0,0,0,0,0,0,1,0,0,0,0,1
invasion,1,0,0,0,0,1,0,1,1,1,1,1
invasive,0,0,0,0,1,0,0,0,0,0,0,0
island,0,0,0,0,0,0,1,0,0,0,0,0
likelihood,0,0,0,0,0,0,0,0,0,0,0,1
native,0,0,0,0,1,0,0,1,0,0,0,0
natural,0,1,1,0,0,0,0,0,0,0,0,0
non-invasive,0,0,0,0,1,0,0,0,0,0,0,0
non-native,0,1,1,1,0,1,1,1,0,0,1,1
phenotypical plasticity,0,0,0,0,1,0,0,0,0,0,0,0
process,0,0,0,0,0,0,0,0,1,0,0,0
propagule pressure,0,0,0,0,0,0,0,0,0,1,0,0
range,1,0,0,0,0,0,0,0,0,0,0,0
reproduction,0,0,1,1,0,0,0,0,0,0,0,0
resistant,0,1,0,0,0,0,0,0,0,0,0,0
specialist,0,0,0,1,0,0,0,0,0,0,0,0
species,0,1,1,1,1,1,1,1,0,0,1,1
success,1,0,0,0,0,1,0,1,1,1,1,0
survival,0,0,0,0,0,0,0,0,0,0,0,1
undisturbed,0,0,0,0,0,0,0,0,0,0,1,0
